$ python process_train_nov25_newtrain_conf.py 
train_data_size, train_data_true_count, train_data_false_count:
1645 813 832
val_data_size, val_data_true_count, val_data_false_count:
470 243 227
test_data_size, test_data_true_count, test_data_false_count:
235 109 126
epoch: 7140, train acc: 0.660790273556231, val acc: 0.6170212765957447
epoch: 7160, train acc: 0.6522796352583586, val acc: 0.5851063829787234
epoch: 7180, train acc: 0.6662613981762918, val acc: 0.5638297872340425
epoch: 7200, train acc: 0.6753799392097265, val acc: 0.5829787234042553
epoch: 7220, train acc: 0.6577507598784195, val acc: 0.5702127659574469
epoch: 7240, train acc: 0.6851063829787234, val acc: 0.5914893617021276
epoch: 7260, train acc: 0.662613981762918, val acc: 0.6085106382978723
epoch: 7280, train acc: 0.6559270516717325, val acc: 0.6085106382978723
epoch: 7300, train acc: 0.6832826747720365, val acc: 0.5957446808510638
epoch: 7320, train acc: 0.6723404255319149, val acc: 0.5765957446808511
epoch: 7340, train acc: 0.662613981762918, val acc: 0.597872340425532
epoch: 7360, train acc: 0.6680851063829787, val acc: 0.6425531914893617
epoch: 7380, train acc: 0.6735562310030395, val acc: 0.5914893617021276
epoch: 7400, train acc: 0.6674772036474164, val acc: 0.5936170212765958
epoch: 7420, train acc: 0.6796352583586626, val acc: 0.6234042553191489
epoch: 7440, train acc: 0.6632218844984803, val acc: 0.6191489361702127
epoch: 7460, train acc: 0.668693009118541, val acc: 0.5638297872340425
